InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,6/1/2011 12:05,0.85,17315,United Kingdom,20.4
554974,21128,GOLD FISHING GNOME,4,5/27/2011 17:14,6.95,14031,United Kingdom,27.8
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,4/21/2011 17:05,0.65,14031,United Kingdom,2.6
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,11/16/2011 10:39,1.95,17198,United Kingdom,5.85
546157,22180,RETROSPOT LAMP,2,3/10/2011 8:40,9.95,13502,United Kingdom,19.9
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,11/14/2011 12:14,2.95,15572,United Kingdom,5.9
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,11/17/2011 15:08,0.39,14362,United Kingdom,4.68
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,9/29/2011 13:38,1.25,16818,United Kingdom,15
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,11/22/2011 16:02,6.75,17759,United Kingdom,6.75
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,7/19/2011 10:51,1.65,12415,Australia,3.3
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,3/7/2011 10:52,7.9,15039,United Kingdom,7.9
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,10/30/2011 15:35,0.79,13949,United Kingdom,14.22
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,5/5/2011 12:13,8.5,14515,United Kingdom,8.5
563745,22115,METAL SIGN EMPIRE TEA,12,8/19/2011 9:38,0.79,15159,United Kingdom,9.48
540418,22161,HEART DECORATION RUSTIC HANGING,5,1/7/2011 11:04,0.81,,United Kingdom,4.05
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,3/10/2011 12:50,2.55,16625,United Kingdom,15.3
548005,21499,BLUE POLKADOT WRAP,25,3/29/2011 10:49,0.42,14128,United Kingdom,10.5
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,12/15/2010 12:27,9.95,13092,United Kingdom,39.8
545715,82600,NO SINGING METAL SIGN,1,3/7/2011 10:13,4.13,,United Kingdom,4.13
577820,23169,CLASSIC GLASS COOKIE JAR,18,11/22/2011 9:24,3.75,13408,United Kingdom,67.5
555091,21936,RED RETROSPOT PICNIC BAG,1,5/31/2011 12:50,2.95,12748,United Kingdom,2.95
556106,22669,RED BABY BUNTING,2,6/8/2011 16:54,2.95,14056,United Kingdom,5.9
537159,22667,RECIPE BOX RETROSPOT,1,12/5/2010 13:17,2.95,14527,United Kingdom,2.95
565841,22555,PLASTERS IN TIN STRONGMAN,1,9/7/2011 12:04,3.29,,United Kingdom,3.29
536532,20685,DOORMAT RED RETROSPOT,2,12/1/2010 13:24,7.95,12433,Norway,15.9
572681,23232,WRAP VINTAGE LEAF DESIGN,25,10/25/2011 13:51,0.42,13510,United Kingdom,10.5
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,3/30/2011 12:02,0.85,16657,United Kingdom,0.85
577531,22699,ROSES REGENCY TEACUP AND SAUCER,7,11/20/2011 13:58,5.79,,United Kingdom,40.53
559133,21987,PACK OF 6 SKULL PAPER CUPS,2,7/6/2011 13:13,0.65,17861,United Kingdom,1.3
566922,23420,PANTRY HOOK TEA STRAINER,12,9/15/2011 14:58,2.08,16156,United Kingdom,24.96
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS,24,3/1/2011 9:35,0.85,12428,Finland,20.4
574074,35095A,BLUE VICTORIAN FABRIC OVAL BOX,2,11/2/2011 15:33,0.83,,United Kingdom,1.66
569026,23203,JUMBO BAG VINTAGE DOILY,10,9/30/2011 10:18,2.08,16101,United Kingdom,20.8
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,12/9/2010 17:27,6.75,17841,United Kingdom,13.5
572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,10/25/2011 15:03,1.65,13871,United Kingdom,19.8
552828,22046,TEA PARTY  WRAPPING PAPER,25,5/11/2011 13:23,0.42,13662,United Kingdom,10.5
575922,23225,CHERUB HEART DECORATION SILVER,24,11/11/2011 17:10,0.83,15681,United Kingdom,19.92
560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,7/17/2011 14:05,3.25,13880,United Kingdom,13
540468,21413,PERIWINKLE T-LIGHT HOLDER,1,1/7/2011 13:55,2.51,,United Kingdom,2.51
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,3/6/2011 15:17,6.75,17107,United Kingdom,67.5
567656,51014A,"FEATHER PEN,HOT PINK",26,9/21/2011 14:40,0.83,14096,United Kingdom,21.58
575063,35970,ZINC FOLKART SLEIGH BELLS,3,11/8/2011 12:32,1.69,16764,United Kingdom,5.07
556917,22659,LUNCH BOX I LOVE LONDON,128,6/15/2011 13:37,1.65,12415,Australia,211.2
561369,22268,DECORATION SITTING BUNNY,2,7/26/2011 16:21,0.63,,United Kingdom,1.26
538449,82599,FANNY'S REST STOPMETAL SIGN,2,12/12/2010 12:24,2.1,17085,United Kingdom,4.2
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,12/1/2010 13:23,3.75,15485,United Kingdom,33.75
540681,82494L,WOODEN FRAME ANTIQUE WHITE,1,1/10/2011 16:25,7.62,,United Kingdom,7.62
562377,23165,LARGE CERAMIC TOP STORAGE JAR,6,8/4/2011 15:04,1.65,14535,United Kingdom,9.9
568144,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,9/25/2011 11:29,1.65,14005,United Kingdom,16.5
554016,21916,SET 12 RETRO WHITE CHALK STICKS,6,5/20/2011 13:14,0.42,13243,United Kingdom,2.52
562717,22784,LANTERN CREAM GAZEBO,1,8/8/2011 15:42,10.79,,United Kingdom,10.79
554959,85099B,JUMBO BAG RED RETROSPOT,2,5/27/2011 15:18,4.13,,United Kingdom,8.26
550512,22523,CHILDS GARDEN FORK PINK,2,4/18/2011 16:31,0.85,18069,United Kingdom,1.7
578844,21317,GLASS SPHERE CANDLE STAND MEDIUM,4,11/25/2011 16:14,10.79,,United Kingdom,43.16
572669,22416,SET OF 36 SPACEBOY PAPER DOILIES,1,10/25/2011 13:10,1.45,16549,United Kingdom,1.45
553504,47590B,PINK HAPPY BIRTHDAY BUNTING,3,5/17/2011 13:26,5.45,13310,United Kingdom,16.35
565117,84879,ASSORTED COLOUR BIRD ORNAMENT,40,9/1/2011 11:33,1.69,13089,United Kingdom,67.6
566422,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,9/12/2011 13:56,6.95,13064,United Kingdom,27.8
536593,22366,DOORMAT AIRMAIL,2,12/1/2010 17:15,7.95,16835,United Kingdom,15.9
578041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,11/22/2011 14:23,4.25,17338,United Kingdom,12.75
553525,21385,IVORY HANGING DECORATION  HEART,24,5/17/2011 14:50,0.85,16266,United Kingdom,20.4
548728,22367,CHILDRENS APRON SPACEBOY DESIGN,8,4/4/2011 9:55,1.95,13198,United Kingdom,15.6
551660,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,5/3/2011 12:16,0.83,15271,United Kingdom,9.96
555383,21731,RED TOADSTOOL LED NIGHT LIGHT,5,6/2/2011 15:13,1.65,12517,Germany,8.25
578998,21810,CHRISTMAS HANGING STAR WITH BELL,1,11/27/2011 16:05,0.39,15436,United Kingdom,0.39
579777,21877,HOME SWEET HOME MUG,1,11/30/2011 15:13,3.29,,United Kingdom,3.29
557233,22561,WOODEN SCHOOL COLOURING SET,3,6/17/2011 14:44,1.65,15356,United Kingdom,4.95
555924,85131B,BEADED CRYSTAL HEART GREEN ON STICK,5,6/7/2011 17:12,0.83,,United Kingdom,4.15
558232,21927,BLUE/CREAM STRIPE CUSHION COVER,2,6/27/2011 14:30,1.25,17841,United Kingdom,2.5
543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT,6,2/2/2011 14:36,2.55,15421,United Kingdom,15.3
575070,23427,STOOL HOME SWEET HOME,2,11/8/2011 12:58,12.5,17841,United Kingdom,25
544322,79000,MOROCCAN TEA GLASS,24,2/17/2011 15:50,0.85,14211,United Kingdom,20.4
570019,23501,KEY RING BASEBALL BOOT UNION JACK,1,10/7/2011 10:13,1.25,17841,United Kingdom,1.25
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,5/19/2011 17:47,9.95,12353,Bahrain,39.8
579619,21174,POTTERING IN THE SHED METAL SIGN,12,11/30/2011 12:10,2.08,18241,United Kingdom,24.96
